PRGT:5018,0,"Scanning CD-ROM devices"
PRGC:5018,0,"Scanning CD-ROM devices"
PRGV:0,0,65536
PRGV:0,0,65536
PRGV:65536,0,65536
PRGV:65536,65536,65536
PRGV:0,65536,65536
PRGV:0,0,65536
PRGT:3100,0,"Opening DVD disc"
PRGC:3102,0,"Processing title sets"
PRGV:0,0,65536
PRGV:0,0,65536
PRGV:32768,0,65536
PRGV:32768,612,65536
PRGC:3120,1,"Scanning contents"
PRGV:0,612,65536
PRGV:655,612,65536
PRGV:655,1224,65536
PRGC:3103,0,"Processing titles"
PRGV:0,1224,65536
PRGC:3104,0,"Decrypting data"
PRGV:65536,1224,65536
PRGV:65536,2449,65536
PRGV:0,2449,65536
PRGV:0,0,65536
PRGT:5024,0,"Saving all titles to MKV files"
PRGC:5057,0,"Analyzing seamless segments"
PRGV:0,0,65536
PRGV:0,0,65536
PRGV:16384,0,65536
PRGV:49152,0,65536
PRGC:5017,0,"Saving to MKV file"
PRGV:0,0,65536
PRGV:213,0,65536
PRGV:213,213,65536
PRGV:278,213,65536
PRGV:278,279,65536
PRGV:325,279,65536
PRGV:325,325,65536
PRGV:337,325,65536
PRGV:337,338,65536
PRGV:349,338,65536
PRGV:349,349,65536
PRGV:391,349,65536
PRGV:391,392,65536
PRGV:405,392,65536
PRGV:405,406,65536
PRGV:445,406,65536
PRGV:445,446,65536
PRGV:459,446,65536
PRGV:459,459,65536
PRGV:471,459,65536
PRGV:471,471,65536
PRGV:511,471,65536
PRGV:511,511,65536
PRGV:523,511,65536
PRGV:523,523,65536
PRGV:555,523,65536
PRGV:555,556,65536
PRGV:569,556,65536
PRGV:569,569,65536
PRGV:581,569,65536
PRGV:581,581,65536
PRGV:623,581,65536
PRGV:623,624,65536
PRGV:635,624,65536
PRGV:635,635,65536
PRGV:676,635,65536
PRGV:676,676,65536
PRGV:689,676,65536
PRGV:689,690,65536
PRGV:701,690,65536
PRGV:701,702,65536
PRGV:746,702,65536
PRGV:746,746,65536
PRGV:750,746,65536
PRGV:750,750,65536
PRGV:783,750,65536
PRGV:783,783,65536
PRGV:829,783,65536
PRGV:829,829,65536
PRGV:843,829,65536
PRGV:843,843,65536
PRGV:883,843,65536
PRGV:883,884,65536
PRGV:897,884,65536
PRGV:897,897,65536
PRGV:909,897,65536
PRGV:909,909,65536
PRGV:950,909,65536
PRGV:950,950,65536
PRGV:954,950,65536
PRGV:954,954,65536
PRGV:990,954,65536
PRGV:990,990,65536
PRGV:1016,990,65536
PRGV:1016,1016,65536
PRGV:1059,1016,65536
PRGV:1059,1059,65536
PRGV:1072,1059,65536
PRGV:1072,1072,65536
PRGV:1111,1072,65536
PRGV:1111,1111,65536
PRGV:1125,1111,65536
PRGV:1125,1125,65536
PRGV:1137,1125,65536
PRGV:1137,1137,65536
PRGV:1179,1137,65536
PRGV:1179,1179,65536
PRGV:1192,1179,65536
PRGV:1192,1193,65536
PRGV:1232,1193,65536
PRGV:1232,1232,65536
PRGV:1245,1232,65536
PRGV:1245,1246,65536
PRGV:1258,1246,65536
PRGV:1258,1258,65536
PRGV:1298,1258,65536
PRGV:1298,1298,65536
PRGV:1311,1298,65536
PRGV:1311,1311,65536
PRGV:1352,1311,65536
PRGV:1352,1352,65536
PRGV:1364,1352,65536
PRGV:1364,1364,65536
PRGV:1376,1364,65536
PRGV:1376,1376,65536
PRGV:1418,1376,65536
PRGV:1418,1419,65536
PRGV:1432,1419,65536
PRGV:1432,1432,65536
PRGV:1472,1432,65536
PRGV:1472,1473,65536
PRGV:1486,1473,65536
PRGV:1486,1486,65536
PRGV:1497,1486,65536
PRGV:1497,1498,65536
PRGV:1537,1498,65536
PRGV:1537,1537,65536
PRGV:1552,1537,65536
PRGV:1552,1552,65536
PRGV:1563,1552,65536
PRGV:1563,1563,65536
PRGV:1609,1563,65536
PRGV:1609,1609,65536
PRGV:1620,1609,65536
PRGV:1620,1621,65536
PRGV:1660,1621,65536
PRGV:1660,1660,65536
PRGV:1671,1660,65536
PRGV:1671,1672,65536
PRGV:1714,1672,65536
PRGV:1714,1714,65536
PRGV:1725,1714,65536
PRGV:1725,1726,65536
PRGV:1738,1726,65536
PRGV:1738,1738,65536
PRGV:1780,1738,65536
PRGV:1780,1780,65536
PRGV:1793,1780,65536
PRGV:1793,1794,65536
PRGV:1827,1794,65536
PRGV:1827,1827,65536
PRGV:1839,1827,65536
PRGV:1839,1840,65536
PRGV:1881,1840,65536
PRGV:1881,1881,65536
PRGV:1893,1881,65536
PRGV:1893,1894,65536
PRGV:1906,1894,65536
PRGV:1906,1906,65536
PRGV:1947,1906,65536
PRGV:1947,1947,65536
PRGV:1960,1947,65536
PRGV:1960,1960,65536
PRGV:2001,1960,65536
PRGV:2001,2001,65536
PRGV:2014,2001,65536
PRGV:2014,2015,65536
PRGV:2027,2015,65536
PRGV:2027,2027,65536
PRGV:2067,2027,65536
PRGV:2067,2067,65536
